NO,gender,exp,marry,edu,farm,gov,wage ,lnwage
1,1,1.25,1,1.2,0,0,18421.0526,4.2653
2,0,0.6,0,1.6,0,0,24500,4.3892
3,1,0.6,0,1.6,0,0,38000,4.5798
4,1,0.7,0,1.2,0,0,21875,4.3399
5,1,0.6,0,1.6,0,1,42000,4.6232
6,1,0.75,0,1.6,0,1,30000,4.4771
7,0,0.8,0,1.4,0,0,21875,4.3399
8,1,0.95,0,1.6,0,1,45000,4.6532
9,0,1.025,1,1.4,1,1,70600,4.8488
10,0,0.975,1,1.4,0,1,60000,4.7782
11,0,0.65,0,1.2,0,0,21000,4.3222
12,1,1.275,1,0.6,0,0,15750,4.1973
13,0,0.65,0,1.2,0,0,15750,4.1973
14,1,1.275,1,1.2,0,0,14000,4.1461
15,0,0.625,1,1.2,0,0,35000,4.5441
16,1,1.225,1,1.4,0,1,58000,4.7634
17,1,0.925,1,1.8,0,1,40000,4.6021
18,1,1.225,1,0.6,0,0,10000,4
19,1,0.575,0,1.6,0,1,8000,3.9031
20,0,1.075,1,1.6,0,0,40000,4.6021
21,1,1.05,1,1.2,0,0,40000,4.6021
22,0,1,1,1.6,0,0,70000,4.8451
23,1,1.4,1,1.2,0,0,26250,4.4191
24,0,1.15,1,1.8,0,0,60000,4.7782
25,1,1.1,1,1.6,0,1,60000,4.7782
26,0,0.825,1,1.8,0,1,51333.3333,4.7104
27,0,1.05,1,1.4,0,0,43750,4.641
28,1,0.9,1,1.4,0,0,32941.1765,4.5177
29,0,1.275,1,1.6,0,1,54000,4.7324
30,1,0.575,0,1.6,0,1,8000,3.9031
31,0,0.8,1,1.8,0,1,42000,4.6232
32,1,0.95,1,1.4,0,1,55000,4.7404
33,0,1,1,1.4,0,0,35000,4.5441
34,0,0.875,1,1.2,0,0,30000,4.4771
35,0,1.4,1,0.9,0,0,35000,4.5441
36,0,0.425,0,0.9,0,0,15750,4.1973
37,0,0.975,1,1.4,0,0,30625,4.4861
38,1,0.825,1,1.2,0,0,21875,4.3399
39,0,1.1,1,1.2,0,1,50000,4.699
40,1,1.125,1,1.2,0,0,17500,4.243
41,0,1.3,1,1.2,0,0,31500,4.4983
42,1,1.25,1,0.6,0,0,10500,4.0212
43,0,0.9,1,1.2,0,0,35000,4.5441
44,1,0.9,1,1.6,0,1,57000,4.7559
45,1,1.35,1,0.9,0,0,40000,4.6021
46,1,0.85,1,1.2,0,0,17500,4.243
47,0,1.025,1,1.4,0,1,33500,4.525
48,0,0.7,1,1.2,0,0,25000,4.3979
49,0,0.75,1,0.9,0,0,19444.4444,4.2888
50,1,0.75,1,1.2,0,0,17888.8889,4.2526
51,1,1.125,1,1.2,0,1,32900,4.5172
52,1,0.775,1,1.4,0,0,21000,4.3222
53,0,1.1,1,0.9,0,0,40000,4.6021
54,0,0.775,1,1.2,0,0,21000,4.3222
55,0,0.45,0,1.2,0,0,9000,3.9542
56,0,1.35,1,0.6,0,0,30000,4.4771
57,0,0.725,1,1.6,0,1,40000,4.6021
58,1,0.725,1,1.6,0,1,40000,4.6021
59,0,0.575,0,1.6,0,1,8000,3.9031
60,0,1.1,1,1.6,0,1,32900,4.5172
61,1,0.85,1,1.4,0,0,35000,4.5441
62,1,1.025,0,1.6,0,0,40000,4.6021
63,0,0.925,1,1.4,0,1,52500,4.7202
64,0,0.775,1,1.2,0,0,26250,4.4191
65,1,0.65,1,0.9,0,0,14000,4.1461
66,0,1.575,1,1.2,0,0,14000,4.1461
67,1,0.5,0,1.4,0,0,16000,4.2041
68,1,1.3,1,0.9,0,0,120000,5.0792
69,0,1.375,1,1.2,0,0,80000,4.9031
70,1,1.25,1,1.2,0,0,21000,4.3222
71,1,0.85,1,1.4,0,0,34363.6364,4.5361
72,0,1.3,1,1.8,0,0,75000,4.8751
73,1,1.175,1,1.4,0,1,40000,4.6021
74,1,0.875,1,1.6,0,0,30000,4.4771
75,0,1.625,1,0.6,0,0,15000,4.1761
76,1,1.675,1,0.6,0,0,15000,4.1761
77,1,0.95,1,1.2,0,0,19000,4.2788
78,0,1.05,1,1.2,0,1,52500,4.7202
79,0,1.3,1,0.9,0,0,27348.8372,4.4369
80,0,0.525,0,1.4,0,1,8000,3.9031
81,0,1.075,1,1.6,0,0,42000,4.6232
82,0,0.7,1,1.2,0,0,46200,4.6646
83,1,0.725,1,1.2,0,0,16500,4.2175
84,0,1.05,1,1.4,0,1,53000,4.7243
85,1,1.15,1,1.2,0,0,30000,4.4771
86,0,1.075,1,1.4,0,1,38500,4.5855
87,0,1.125,1,0.9,0,0,26250,4.4191
88,0,0.925,1,1.6,0,0,190909.0909,5.2808
89,0,0.825,1,1.4,0,0,33600,4.5263
